,ppg
896,52.136753
897,52.136753
898,52.136753
899,51.746033
900,51.746033
901,51.33089
902,51.33089
903,51.33089
904,50.89133
905,50.89133
906,50.40293
907,50.40293
908,49.81685
909,49.81685
910,49.81685
911,49.13309
912,49.13309
913,48.37607
914,48.37607
915,48.37607
916,47.52137
917,47.52137
918,46.495728
919,46.495728
920,45.372406
921,45.372406
922,45.372406
923,44.200245
924,44.200245
925,42.979244
926,42.979244
927,42.979244
928,41.709404
929,41.709404
930,40.415142
931,40.415142
932,39.19414
933,39.19414
934,39.19414
935,38.07082
936,38.07082
937,37.0696
938,37.0696
939,37.0696
940,36.214897
941,36.214897
942,35.531136
943,35.531136
944,34.969475
945,34.969475
946,34.969475
947,34.505497
948,34.505497
949,34.163616
950,34.163616
951,34.163616
952,33.894993
953,33.894993
954,33.675213
955,33.675213
956,33.504272
957,33.504272
958,33.504272
959,33.357754
960,33.357754
961,33.260075
962,33.260075
963,33.260075
964,33.137974
965,33.137974
966,32.967033
967,32.967033
968,32.72283
969,32.72283
970,32.72283
971,32.429794
972,32.429794
973,32.06349
974,32.06349
975,32.06349
976,31.648352
977,31.648352
978,31.184372
979,31.184372
980,30.744812
981,30.744812
982,30.744812
983,30.32967
984,30.32967
985,29.93895
986,29.93895
987,29.93895
988,29.62149
989,29.62149
990,29.352869
991,29.352869
992,29.10867
993,29.10867
994,29.10867
995,28.937729
996,28.937729
997,28.81563
998,28.81563
999,28.81563
1000,28.69353
1001,28.69353
1002,28.59585
1003,28.59585
1004,28.47375
1005,28.47375
1006,28.47375
1007,28.327229
1008,28.327229
1009,28.180708
1010,28.180708
1011,28.180708
1012,27.985348
1013,27.985348
1014,27.716728
1015,27.716728
1016,27.423687
1017,27.423687
1018,27.423687
1019,27.106228
1020,27.106228
1021,26.739927
1022,26.739927
1023,26.739927
1024,26.398046
1025,26.398046
1026,26.080587
1027,26.080587
1028,25.811966
1029,25.811966
1030,25.811966
1031,25.665445
1032,25.665445
1033,25.616606
1034,25.616606
1035,25.616606
1036,25.689867
1037,25.689867
1038,25.860806
1039,25.860806
1040,26.105007
1041,26.105007
1042,26.105007
1043,26.373627
1044,26.373627
1045,26.617826
1046,26.617826
1047,26.617826
1048,26.862028
1049,26.862028
1050,26.837606
1051,26.837606
1052,26.764347
1053,26.764347
1054,26.764347
1055,26.715508
1056,26.715508
1057,26.886448
1058,26.886448
1059,26.886448
1060,27.619047
1061,27.619047
1062,28.937729
1063,28.937729
1064,30.91575
1065,30.91575
1066,30.91575
1067,33.772896
1068,33.772896
1069,37.435898
1070,37.435898
1071,37.435898
1072,41.636143
1073,41.636143
1074,46.056168
1075,46.056168
1076,50.427353
1077,50.427353
1078,50.427353
1079,54.358974
1080,54.358974
1081,57.704517
1082,57.704517
1083,57.704517
1084,60.39072
1085,60.39072
1086,62.124542
1087,62.124542
1088,62.832726
1089,62.832726
1090,62.832726
1091,62.759464
1092,62.759464
1093,62.075703
1094,62.075703
1095,62.075703
1096,60.879124
1097,60.879124
1098,59.41392
1099,59.41392
1100,57.85104
1101,57.85104
1102,57.85104
1103,56.336998
1104,56.336998
1105,55.018314
1106,55.018314
1107,55.018314
1108,54.017094
1109,54.017094
1110,53.308914
1111,53.308914
1112,52.869354
1113,52.869354
1114,52.869354
1115,52.673992
1116,52.673992
1117,52.673992
1118,52.673992
1119,52.673992
1120,52.771675
1121,52.771675
1122,52.893772
1123,52.893772
1124,52.967033
1125,52.967033
1126,52.967033
1127,52.918194
1128,52.918194
1129,52.698414
1130,52.698414
1131,52.698414
1132,52.28327
1133,52.28327
1134,51.67277
1135,51.67277
1136,50.76923
1137,50.76923
1138,50.76923
1139,49.645912
1140,49.645912
1141,48.32723
1142,48.32723
1143,48.32723
1144,46.764347
1145,46.764347
1146,45.006107
1147,45.006107
1148,43.125763
1149,43.125763
1150,43.125763
1151,41.17216
1152,41.17216
1153,39.21856
1154,39.21856
1155,39.21856
1156,37.38706
1157,37.38706
1158,35.726498
1159,35.726498
1160,34.261295
1161,34.261295
1162,34.261295
1163,33.040295
1164,33.040295
1165,32.11233
1166,32.11233
1167,32.11233
1168,31.428572
1169,31.428572
1170,30.940172
1171,30.940172
1172,30.67155
1173,30.67155
1174,30.67155
1175,30.573872
1176,30.573872
1177,30.647131
1178,30.647131
1179,30.647131
1180,30.842491
1181,30.842491
1182,31.11111
1183,31.11111
1184,31.428572
1185,31.428572
1186,31.428572
1187,31.794872
1188,31.794872
1189,32.185593
1190,32.185593
1191,32.185593
1192,32.576313
1193,32.576313
1194,32.893772
1195,32.893772
1196,33.186813
1197,33.186813
1198,33.186813
1199,33.431015
1200,33.431015
1201,33.553116
1202,33.553116
1203,33.553116
1204,33.528694
1205,33.528694
1206,33.406593
1207,33.406593
1208,33.137974
1209,33.137974
1210,33.137974
1211,32.771675
1212,32.771675
1213,32.307693
1214,32.307693
1215,32.307693
1216,31.794872
1217,31.794872
1218,31.208792
1219,31.208792
1220,30.573872
1221,30.573872
1222,30.573872
1223,29.93895
1224,29.93895
1225,29.32845
1226,29.32845
1227,29.32845
1228,28.766788
1229,28.766788
1230,28.22955
1231,28.22955
1232,27.741148
1233,27.741148
1234,27.741148
1235,27.301588
1236,27.301588
1237,26.935287
1238,26.935287
1239,26.935287
1240,26.617826
1241,26.617826
1242,26.275948
1243,26.275948
1244,25.958487
1245,25.958487
1246,25.958487
1247,25.665445
1248,25.665445
1249,25.372406
1250,25.372406
1251,25.372406
1252,25.103786
1253,25.103786
